#                \hbar \omega(Ry)     Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry)
     chi_1_1=  0.000000000000000E+00  0.102061404892703E+02  0.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.431586496902319E-07  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.188998734469987E-06  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.407642222321167E-07  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.102061422264724E+02  0.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  -.377358295240082E-06  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.188603837710043E-06  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  -.377493414420136E-06  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.102061391119739E+02  0.000000000000000E+00
     chi_1_1=  0.100000000000000E-02  0.102061520004136E+02  0.230362727251165E-03
     chi_2_1=  0.100000000000000E-02  -.431579609235538E-07  0.137924292084435E-10
     chi_3_1=  0.100000000000000E-02  0.188999366155871E-06  0.126467282258825E-10
     chi_1_2=  0.100000000000000E-02  -.407635270440141E-07  0.139209782654269E-10
     chi_2_2=  0.100000000000000E-02  0.102061537376171E+02  0.230362755604856E-03
     chi_3_2=  0.100000000000000E-02  -.377359017268247E-06  -.144520322274256E-10
     chi_1_3=  0.100000000000000E-02  0.188604468497915E-06  0.126287526817797E-10
     chi_2_3=  0.100000000000000E-02  -.377494136525714E-06  -.144535786122910E-10
     chi_3_3=  0.100000000000000E-02  0.102061506231096E+02  0.230362574204241E-03
     chi_1_1=  0.200000000000000E-02  0.102061865340522E+02  0.460729638410331E-03
     chi_2_1=  0.200000000000000E-02  -.431558945980111E-07  0.275853697727697E-10
     chi_3_1=  0.200000000000000E-02  0.189001261232938E-06  0.252938456091155E-10
     chi_1_2=  0.200000000000000E-02  -.407614414540204E-07  0.278424714934452E-10
     chi_2_2=  0.200000000000000E-02  0.102061882712601E+02  0.460729695117056E-03
     chi_3_2=  0.200000000000000E-02  -.377361183369861E-06  -.289044075376899E-10
     chi_1_3=  0.200000000000000E-02  0.188606360880920E-06  0.252578940636069E-10
     chi_2_3=  0.200000000000000E-02  -.377496302859567E-06  -.289075002509759E-10
     chi_3_3=  0.200000000000000E-02  0.102061851567253E+02  0.460729332310590E-03
     chi_1_1=  0.300000000000000E-02  0.102062440908127E+02  0.691104917612727E-03
     chi_2_1=  0.300000000000000E-02  -.431524506370806E-07  0.413793330849756E-10
     chi_3_1=  0.300000000000000E-02  0.189004419759416E-06  0.379417413355400E-10
     chi_1_2=  0.300000000000000E-02  -.407579653850709E-07  0.417649946830131E-10
     chi_2_2=  0.300000000000000E-02  0.102062458280277E+02  0.691105002671169E-03
     chi_3_2=  0.300000000000000E-02  -.377364793596291E-06  -.433574690332483E-10
     chi_1_3=  0.300000000000000E-02  0.188609514917220E-06  0.378878128739891E-10
     chi_2_3=  0.300000000000000E-02  -.377499913473052E-06  -.433621079620579E-10
     chi_3_3=  0.300000000000000E-02  0.102062427134476E+02  0.691104458448379E-03
     chi_1_1=  0.400000000000000E-02  0.102063246717393E+02  0.921492749448042E-03
     chi_2_1=  0.400000000000000E-02  -.431476289132162E-07  0.551748306092915E-10
     chi_3_1=  0.400000000000000E-02  0.189008841832366E-06  0.505908046479822E-10
     chi_1_2=  0.400000000000000E-02  -.407530987087204E-07  0.556890629058256E-10
     chi_2_2=  0.400000000000000E-02  0.102063264089641E+02  0.921492862856228E-03
     chi_3_2=  0.400000000000000E-02  -.377369848033148E-06  -.578115598557908E-10
     chi_1_3=  0.400000000000000E-02  0.188613930703761E-06  0.505188978983578E-10
     chi_2_3=  0.400000000000000E-02  -.377504968451764E-06  -.578177448307595E-10
     chi_3_3=  0.400000000000000E-02  0.102063232943206E+02  0.921492137201410E-03
     chi_1_1=  0.500000000000000E-02  0.102064282782936E+02  0.115189731918775E-02
     chi_2_1=  0.500000000000000E-02  -.431414292478405E-07  0.689723739183075E-10
     chi_3_1=  0.500000000000000E-02  0.189014527587677E-06  0.632414248747558E-10
     chi_1_2=  0.500000000000000E-02  -.407468412451317E-07  0.696151913426944E-10
     chi_2_2=  0.500000000000000E-02  0.102064300155312E+02  0.115189746094305E-02
     chi_3_2=  0.500000000000000E-02  -.377376346800295E-06  -.722670232058659E-10
     chi_1_3=  0.500000000000000E-02  0.188619608376273E-06  0.631515380075395E-10
     chi_2_3=  0.500000000000000E-02  -.377511467915549E-06  -.722747540011375E-10
     chi_3_3=  0.500000000000000E-02  0.102064269008062E+02  0.115189655383526E-02
     chi_1_1=  0.600000000000000E-02  0.102065549123554E+02  0.138232281301248E-02
     chi_2_1=  0.600000000000000E-02  -.431338514113336E-07  0.827724747291154E-10
     chi_3_1=  0.600000000000000E-02  0.189021477200086E-06  0.758939914581757E-10
     chi_1_2=  0.600000000000000E-02  -.407391927630652E-07  0.835438953199414E-10
     chi_2_2=  0.600000000000000E-02  0.102065566496087E+02  0.138232298311159E-02
     chi_3_2=  0.600000000000000E-02  -.377384290051854E-06  -.867242023625068E-10
     chi_1_3=  0.600000000000000E-02  0.188626548109286E-06  0.757861221862401E-10
     chi_2_3=  0.600000000000000E-02  -.377519412018502E-06  -.867334786957039E-10
     chi_3_3=  0.600000000000000E-02  0.102065535347839E+02  0.138232189452464E-02
     chi_1_1=  0.700000000000000E-02  0.102067045762224E+02  0.161277341823947E-02
     chi_2_1=  0.700000000000000E-02  -.431248951230142E-07  0.965756449394657E-10
