#                \hbar \omega(Ry)     Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry)
     chi_1_1=  0.000000000000000E+00  0.962620084625698E+01  0.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.209630163698579E-06  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  -.522362112361928E-06  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.209630163395908E-06  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.962620043988430E+01  0.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  -.281724439742163E-06  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  -.522362112415409E-06  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  -.281724439410304E-06  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.962619531875478E+01  0.000000000000000E+00
     chi_1_1=  0.100000000000000E-02  0.962621111512414E+01  0.205496659299512E-03
     chi_2_1=  0.100000000000000E-02  -.209628603457396E-06  0.312464973706009E-10
     chi_3_1=  0.100000000000000E-02  -.522363300765302E-06  -.237906399403187E-10
     chi_1_2=  0.100000000000000E-02  -.209628603154722E-06  0.312464974384142E-10
     chi_2_2=  0.100000000000000E-02  0.962621070875043E+01  0.205496638613946E-03
     chi_3_2=  0.100000000000000E-02  -.281725101947458E-06  -.132571473785041E-10
     chi_1_3=  0.100000000000000E-02  -.522363300818784E-06  -.237906399402578E-10
     chi_2_3=  0.100000000000000E-02  -.281725101615600E-06  -.132571474090478E-10
     chi_3_3=  0.100000000000000E-02  0.962620558760986E+01  0.205496416885422E-03
     chi_1_1=  0.200000000000000E-02  0.962624192190382E+01  0.410996887935725E-03
     chi_2_1=  0.200000000000000E-02  -.209623922671690E-06  0.624942412043024E-10
     chi_3_1=  0.200000000000000E-02  -.522366866009102E-06  -.475819550456118E-10
     chi_1_2=  0.200000000000000E-02  -.209623922369006E-06  0.624942413399314E-10
     chi_2_2=  0.200000000000000E-02  0.962624151552699E+01  0.410996846564003E-03
     chi_3_2=  0.200000000000000E-02  -.281727088582797E-06  -.265146848318616E-10
     chi_1_3=  0.200000000000000E-02  -.522366866062584E-06  -.475819550454902E-10
     chi_2_3=  0.200000000000000E-02  -.281727088250944E-06  -.265146848929501E-10
     chi_3_3=  0.200000000000000E-02  0.962623639435319E+01  0.410996403101844E-03
     chi_1_1=  0.300000000000000E-02  0.962629326713044E+01  0.616504255432266E-03
     chi_2_1=  0.300000000000000E-02  -.209616121154971E-06  0.937444780614087E-10
     chi_3_1=  0.300000000000000E-02  -.522372808194360E-06  -.713746205300799E-10
     chi_1_2=  0.300000000000000E-02  -.209616120852271E-06  0.937444782648575E-10
     chi_2_2=  0.300000000000000E-02  0.962629286074849E+01  0.616504193373201E-03
     chi_3_2=  0.300000000000000E-02  -.281730399706543E-06  -.397730024647767E-10
     chi_1_3=  0.300000000000000E-02  -.522372808247839E-06  -.713746205298976E-10
     chi_2_3=  0.300000000000000E-02  -.281730399374698E-06  -.397730025564120E-10
     chi_3_3=  0.300000000000000E-02  0.962628773951926E+01  0.616503528167186E-03
     chi_1_1=  0.400000000000000E-02  0.962636515169489E+01  0.822022331686625E-03
     chi_2_1=  0.400000000000000E-02  -.209605198596414E-06  0.124998454696641E-09
     chi_3_1=  0.400000000000000E-02  -.522381127489464E-06  -.951693117063826E-10
     chi_1_2=  0.400000000000000E-02  -.209605198293691E-06  0.124998454967916E-09
     chi_2_2=  0.400000000000000E-02  0.962636474530568E+01  0.822022248938440E-03
     chi_3_2=  0.400000000000000E-02  -.281735035415972E-06  -.530324904416583E-10
     chi_1_3=  0.400000000000000E-02  -.522381127542945E-06  -.951693117061395E-10
     chi_2_3=  0.400000000000000E-02  -.281735035084137E-06  -.530324905638435E-10
     chi_3_3=  0.400000000000000E-02  0.962635962399892E+01  0.822021361973240E-03
     chi_1_1=  0.500000000000000E-02  0.962645757684433E+01  0.102755468715714E-02
     chi_2_1=  0.500000000000000E-02  -.209591154560827E-06  0.156257418156381E-09
     chi_3_1=  0.500000000000000E-02  -.522391824130182E-06  -.118966704034883E-09
     chi_1_2=  0.500000000000000E-02  -.209591154258071E-06  0.156257418495494E-09
     chi_2_2=  0.500000000000000E-02  0.962645717044579E+01  0.102755458371747E-02
     chi_3_2=  0.500000000000000E-02  -.281740995847282E-06  -.662935390164845E-10
     chi_1_3=  0.500000000000000E-02  -.522391824183663E-06  -.118966704034579E-09
     chi_2_3=  0.500000000000000E-02  -.281740995515460E-06  -.662935391692236E-10
     chi_3_3=  0.500000000000000E-02  0.962645204903932E+01  0.102755347497264E-02
     chi_1_1=  0.600000000000000E-02  0.962657054418239E+01  0.123310489305006E-02
     chi_2_1=  0.600000000000000E-02  -.209573988488618E-06  0.187522615875956E-09
     chi_3_1=  0.600000000000000E-02  -.522404898419671E-06  -.142767473172918E-09
     chi_1_2=  0.600000000000000E-02  -.209573988185825E-06  0.187522616282915E-09
     chi_2_2=  0.600000000000000E-02  0.962657013777251E+01  0.123310476891595E-02
     chi_3_2=  0.600000000000000E-02  -.281748281175602E-06  -.795565385626780E-10
     chi_1_3=  0.600000000000000E-02  -.522404898473151E-06  -.142767473172553E-09
     chi_2_3=  0.600000000000000E-02  -.281748280843798E-06  -.795565387459763E-10
     chi_3_3=  0.600000000000000E-02  0.962656501624417E+01  0.123310343836593E-02
     chi_1_1=  0.700000000000000E-02  0.962670405566934E+01  0.143867652150665E-02
     chi_2_1=  0.700000000000000E-02  -.209553699695754E-06  0.218795295776967E-09
