# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   15.76576577    0.00414298
   15.87587588    0.00407286
   15.98598599    0.00398165
   16.09609610    0.00388194
   16.20620621    0.00378641
   16.31631632    0.00370519
   16.42642643    0.00364509
   16.53653654    0.00361025
   16.64664665    0.00360339
   16.75675676    0.00362663
   16.86686687    0.00368130
   16.97697698    0.00376656
   17.08708709    0.00387767
   17.19719720    0.00400479
   17.30730731    0.00413327
   17.41741742    0.00424550
   17.52752753    0.00432367
   17.63763764    0.00435304
   17.74774775    0.00432549
   17.85785786    0.00424189
   17.96796797    0.00411158
   18.07807808    0.00394890
   18.18818819    0.00376933
   18.29829830    0.00358728
   18.40840841    0.00341480
   18.51851852    0.00326059
   18.62862863    0.00312913
   18.73873874    0.00302073
   18.84884885    0.00293273
   18.95895896    0.00286117
   19.06906907    0.00280247
   19.17917918    0.00275413
   19.28928929    0.00271457
   19.39939940    0.00268262
   19.50950951    0.00265715
   19.61961962    0.00263707
   19.72972973    0.00262130
   19.83983984    0.00260879
   19.94994995    0.00259851
   20.06006006    0.00258979
   20.17017017    0.00258281
   20.28028028    0.00257934
   20.39039039    0.00258279
   20.50050050    0.00259741
   20.61061061    0.00262629
   20.72072072    0.00266930
   20.83083083    0.00272145
   20.94094094    0.00277289
   21.05105105    0.00281115
   21.16116116    0.00282545
   21.27127127    0.00281124
   21.38138138    0.00277196
   21.49149149    0.00271676
   21.60160160    0.00265618
   21.71171171    0.00259866
   21.82182182    0.00254926
   21.93193193    0.00251002
   22.04204204    0.00248043
   22.15215215    0.00245778
   22.26226226    0.00243742
   22.37237237    0.00241397
   22.48248248    0.00238290
   22.59259259    0.00234220
   22.70270270    0.00229300
   22.81281281    0.00223940
   22.92292292    0.00218750
   23.03303303    0.00214398
   23.14314314    0.00211458
   23.25325325    0.00210287
   23.36336336    0.00210954
   23.47347347    0.00213201
   23.58358358    0.00216455
   23.69369369    0.00219919
   23.80380380    0.00222766
   23.91391391    0.00224405
   24.02402402    0.00224640
   24.13413413    0.00223644
   24.24424424    0.00221761
   24.35435435    0.00219336
   24.46446446    0.00216667
   24.57457457    0.00214028
   24.68468468    0.00211694
   24.79479479    0.00209918
   24.90490490    0.00208912
   25.01501502    0.00208834
   25.12512513    0.00209775
   25.23523524    0.00211750
   25.34534535    0.00214677
   25.45545546    0.00218353
   25.56556557    0.00222446
   25.67567568    0.00226549
   25.78578579    0.00230317
   25.89589590    0.00233622
   26.00600601    0.00236606
   26.11611612    0.00239592
   26.22622623    0.00242923
   26.33633634    0.00246850
   26.44644645    0.00251524
   26.55655656    0.00257040
   26.66666667    0.00263462
   26.77677678    0.00270764
   26.88688689    0.00278711
   26.99699700    0.00286742
   27.10710711    0.00293976
   27.21721722    0.00299373
   27.32732733    0.00302029
   27.43743744    0.00301485
   27.54754755    0.00297884
   27.65765766    0.00291896
   27.76776777    0.00284434
   27.87787788    0.00276301
   27.98798799    0.00267979
   28.09809810    0.00259643
   28.20820821    0.00251325
   28.31831832    0.00243101
   28.42842843    0.00235168
   28.53853854    0.00227823
   28.64864865    0.00221397
   28.75875876    0.00216187
   28.86886887    0.00212406
   28.97897898    0.00210141
   29.08908909    0.00209328
   29.19919920    0.00209766
   29.30930931    0.00211127
   29.41941942    0.00212973
   29.52952953    0.00214758
   29.63963964    0.00215884
   29.74974975    0.00215806
   29.85985986    0.00214195
   29.96996997    0.00211046
   30.08008008    0.00206672
   30.19019019    0.00201590
   30.30030030    0.00196360
   30.41041041    0.00191467
   30.52052052    0.00187269
   30.63063063    0.00183992
   30.74074074    0.00181739
   30.85085085    0.00180489
   30.96096096    0.00180105
   31.07107107    0.00180353
   31.18118118    0.00180941
   31.29129129    0.00181578
   31.40140140    0.00182037
   31.51151151    0.00182190
   31.62162162    0.00182028
   31.73173173    0.00181637
   31.84184184    0.00181134
   31.95195195    0.00180599
   32.06206206    0.00180033
   32.17217217    0.00179358
   32.28228228    0.00178436
   32.39239239    0.00177106
   32.50250250    0.00175222
   32.61261261    0.00172708
   32.72272272    0.00169592
   32.83283283    0.00166014
   32.94294294    0.00162184
   33.05305305    0.00158327
   33.16316316    0.00154638
   33.27327327    0.00151260
   33.38338338    0.00148262
   33.49349349    0.00145629
